===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-07-13 20:13:59
count workspace : c:\Users\kowal\Documents\Git\kowax-experiment-legacy
total files : 538
total code lines : 68236
total comment lines : 11524
total blank lines : 2128

.classpath, code is 21, comment is 0, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\package-use.html, code is 340, comment is 45, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\PluginBase.html, code is 334, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\PluginManager.html, code is 388, comment is 59, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\Stdio.html, code is 414, comment is 64, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\SystemApi.html, code is 379, comment is 60, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\SystemEvent.html, code is 335, comment is 56, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\TaskManager.html, code is 309, comment is 56, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\TaskManager.Task.html, code is 306, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\TokenKey.html, code is 248, comment is 49, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\TokenKey.InvalidTokenException.html, code is 242, comment is 48, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\UsersManager.ExistingUserException.html, code is 221, comment is 47, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\UsersManager.html, code is 438, comment is 63, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\UsersManager.InvalidUserException.html, code is 221, comment is 47, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\UsersManager.User.html, code is 301, comment is 54, blank is 0.
target\apidocs\com\xspacesoft\kowax\Logwolf.html, code is 413, comment is 64, blank is 0.
target\apidocs\com\xspacesoft\kowax\Main.html, code is 245, comment is 50, blank is 0.
target\apidocs\com\xspacesoft\kowax\OptionsParser.html, code is 269, comment is 50, blank is 0.
target\apidocs\com\xspacesoft\kowax\package-frame.html, code is 31, comment is 2, blank is 0.
target\apidocs\com\xspacesoft\kowax\package-summary.html, code is 157, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\package-tree.html, code is 123, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\package-use.html, code is 125, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\Pause.html, code is 240, comment is 50, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\AppExample.html, code is 424, comment is 59, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\BusyBox.html, code is 368, comment is 56, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\AppExample.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\BusyBox.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\CronTab.Cron.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\CronTab.CronTabJob.html, code is 143, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\CronTab.html, code is 129, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\CronTab.Job.html, code is 129, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\DenialService.DosProtcol.html, code is 158, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\DenialService.Flooder.FlooderInstance.html, code is 146, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\DenialService.Flooder.html, code is 129, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\DenialService.Flooder.TcpFlooder.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\DenialService.Flooder.UdpFlooder.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\DenialService.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\Echo.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\Escalator.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\Fortune.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\HivemindControl.HivemindHost.html, code is 176, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\HivemindControl.HivemindManager.html, code is 127, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\HivemindControl.HivemindService.html, code is 90, comment is 36, blank is 0.
